osm_id,name,centroid_base,centroid_lat,centroid_lon,main_entrance_lat,main_entrance_lon,category,cohort,walking_distance_centroid_to_main_entrance_m,walking_distance_centroid_to_nearest_driving_road_m,walking_distance_centroid_to_nearest_transit_stop_m,walking_distance_main_entrance_to_nearest_driving_road_m,walking_distance_main_entrance_to_nearest_transit_stop_m,is_same_nearest_driving_road,is_same_transit_stop,euclidean_distance_centroid_to_main_entrance_m,absolute_difference_nearest_road_distance_m,absolute_difference_nearest_transit_stop_distance_m
way/198239221,,area,-6.5845028,111.0641448,-6.584497,111.0646451,,world,68,60,,18,,TRUE,,55,42,
way/260644684,,building,45.46604,9.1498257,45.4662085,9.1497648,,world,25,26,21,8,14,TRUE,TRUE,19,18,7
way/338068333,,area,41.6796207,2.1664984,41.6795651,2.16643,,world,8,69,471,61,465,TRUE,TRUE,8,8,6
way/344365705,,area,48.768606,-104.5512224,48.7689787,-104.5504631,,world,69,139,,150,,TRUE,,69,11,
way/352384955,,area,31.4952613,74.2922201,31.5040679,74.3065056,,world,2064,722,1159,779,807,FALSE,FALSE,1671,57,352
way/360972744,,area,10.8769392,106.1344379,10.8773327,106.1343851,,world,46,45,,85,,TRUE,,44,40,
way/404863387,Школа имени Алии Молдагуловой,area,43.6057242,78.2687178,43.6059789,78.2685074,,world,208,95,,94,,FALSE,,33,1,
way/409178904,,multiple buildings,33.847105,-118.3116162,33.8470032,-118.3111845,,world,58,28,274,23,222,FALSE,TRUE,41,5,52
way/412065016,,area,35.3620316,132.7505321,35.3619198,132.7510908,,world,52,69,250,17,201,TRUE,TRUE,52,52,49
way/412293844,Vidnyan Vardhini Highschool,area,19.8766592,75.3360663,19.8766031,75.3361714,,world,13,69,,59,,TRUE,,13,10,
way/419055245,Upper Sindh II,building,34.2673994,74.8969355,34.2676489,74.8967023,,world,35,186,,151,,TRUE,,35,35,
way/419715110,,building,14.0956103,-87.1901741,14.0954959,-87.1904441,,world,32,37,,4,,TRUE,,32,33,
way/429278051,Sathosa - Polgahawela,building,7.3362027,80.3002642,7.3361672,80.3003941,,world,15,27,108,10,92,TRUE,TRUE,15,17,16
way/438418872,Ross Grove Cemetery,area,35.3166441,-81.5243849,35.3172798,-81.5246456,,world,80,85,,5,,TRUE,,75,80,
way/443016112,鹿沼市立粟野中学校,area,36.5087446,139.6602546,36.5083908,139.6595893,,world,89,106,,116,,FALSE,,71,10,
way/531781203,,area,32.6672988,51.4276323,32.6673908,51.4276078,,world,10,17,,6,,TRUE,,10,11,
